您未订购直播,#genre#
兵团卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=btws
河北卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hebws
黑龙江卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hljws
山东教育卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sdjyws
三沙卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ssws
延边卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ybws
云南卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ynws
西藏卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xzws
西藏藏语卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xzzy
康巴卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=kbws
山东卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sdws
新疆卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjws
山西卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sxws
陕西卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=shanxws
农林卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=nlws
内蒙古卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=nmgws
内蒙古蒙语卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=nmmyws
海峡卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hxws
天津卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=tjws
辽宁卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=lnws
安徽卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ahws
广西卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=gxws
四川卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=scws
贵州卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=gzws
宁夏卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=nxws
深圳卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=szws
重庆卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cqws
甘肃卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=gsws
东南卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=dnws
青海安多卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=qhadws
湖南卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hunws
湖南经视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hunjs
金鹰卡通,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jykt
金鹰纪实,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jyjs
快乐垂钓,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=klcd
先锋乒羽,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xfpy
湖南都市,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hunds
湖南电视剧,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hndsj
湖南公共,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hungg
湖南国际,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hungj
湖南娱乐,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hunyl
湖南快乐购,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=klg
湖南茶频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cpd
湖南电影,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hndy
长沙新闻,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=csxw
长沙政法,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cszf
长沙女性,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=csnx
CETV1,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cetv1
CETV2,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cetv2
CETV4,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cetv4
地方频道,#genre#
1905电影轮播,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=1905lb
重庆新闻,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cqxw
西藏影视文化,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xzys
老故事,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=lgs
发现之旅,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=fxzl
中学生,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zxs
经典动画大集合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jddhdjh
青春怀旧剧场,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=qchjjt
新片放映厅,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xpfyt
CHC影迷电影,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=chcymd
CHC动作电影,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=chcdzdy
CHC家庭影院,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=chcjtyy
高清大片,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=gqdp
五环传奇,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=whcq
赛事最经典,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sszjd
掼蛋精英赛,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=gdjls
体坛名栏汇,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ttmlh
咪咕24小时体育台,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=mg24xstyt
最强综艺趴,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zqzyp
江苏综艺频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jszypd
上视东方影视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sddfys
南京新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=njxwzhpd
南京教科频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=njjkpd
南京十八频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=njsbpd
体育休闲频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=tyxxpd
江苏城市频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jscspd
江苏国际,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jsgj
江苏教育,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jsjy
江苏影视频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jsyspd
江苏综艺频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jszypd
公共新闻频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ggxwpd
盐城新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ycxwzh
淮安新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=haxwzh
泰州新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=tzxwzh
连云港新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=lygxwzh
宿迁新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sqxwzh
徐州新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xzxwzh
江阴新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jyxwzh
南通新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ntxwzh
宜兴新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=yxxwzh
苏州新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=szxwzh
溧水新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=lsxwzh
熊猫频道1,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xm1
熊猫频道2,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xm2
熊猫频道3,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xm3
熊猫频道4,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xm4
熊猫频道5,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xm5
熊猫频道6,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xm6
熊猫频道7,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xm7
熊猫频道8,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xm8
熊猫频道9,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xm9
熊猫频道10,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xm10

浙江钱江,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjqj
浙江经济生活,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjjjsh
浙江教科影视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjjkys
浙江民生休闲,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjmsxx
浙江新闻,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjxw
浙江少儿,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjse
浙江国际,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjgj
浙江好易购,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjhyg
浙江之江纪录,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjzjjl

北京文艺,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bjwy
纪实科教,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jskj
北京影视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bjys
北京财经,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bjcj
北京体育休闲,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bjty
北京生活,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bjsh
北京新闻,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bjxw
卡酷少儿,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=kkse

上海新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=shxwzh
新纪实,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjs
魔都眼,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=mdy
乐游,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ly
第一财经,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=dycj
上号都市,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ds
五星体育,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=wxty

山西经济,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sxjj
山西影视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sxys
山西社会与法治,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sxfz
山西文体生活,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sxwt
山西黄河,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sxhh

陕西新闻资讯,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xwzx
陕西都市青春,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=dsqc
银龄频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ylpd
秦腔频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=qqpd
乐家购物,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ljgw
移动电视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ydds

耿马综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=gmzh
龙陵综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=llzh
隆阳综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=lyzh
玉溪新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=yxzh
玉溪社会与法,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=yxsf
德宏新闻综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=dhxwzhpd
文山综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=wszhpd
红河综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hhzhpd
临沧新闻综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=lcxwzhpd
昭通综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ztzhpd
西双版纳新闻综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xsbnxwzhpd
楚雄新闻频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cxxwpd
大理新闻综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=dlxwzhpd
丽江新闻综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ljxwzhpd
迪庆新闻综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=dqxwzhpd
怒江新闻综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=njxwzhpd
保山综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bszhpd
曲靖综合频道,http://http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=qjzhpd

河南都市,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hnds
河南民生,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hnms
河南法治,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hmfz
河南电视剧,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hndsj
河南新闻,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hnxw
欢腾购物,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=htgw
河南公共,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hngg
河南乡村,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hnxc
河南国际,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hngj
河南梨园,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hnly
文物宝库,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=wwbk
武术世界,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=wspd
晴彩中原,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jczy
移动戏曲,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ydxj
象视界,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xsj
国学频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=gxpd

内蒙古新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=nmxwzh
内蒙古经济生活,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=nmjjsh
内蒙古少儿频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=nmse
内蒙古文体娱乐,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=nmwtyl
内蒙古农牧频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=nmnm
内蒙古蒙古语文化,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=nmwh
呼和浩特新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hhht1
锡林郭勒,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xlgl1
阿拉善新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=als1
巴彦淖尔,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=byle1
鄂尔多斯,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=erds1
赤峰新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cf1
通辽新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=tl1
乌兰察布,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=wlcb1
乌海新闻,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=wh1
呼伦贝尔新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hlbe1
兴安新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xa1
包头新闻,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bt1

新疆维语新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjwyzh
新疆哈语新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjhyzh
新疆综艺,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjzy
新疆维语影视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjwyys
新疆经济生活,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjjjsh
新疆哈语综艺,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjhyzy
新疆维语经济生活,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjwyjj
新疆体育健康,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjty
新疆信息服务,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjxxfw
新疆少儿频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=xjse

亳州综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bzzhpd
广州综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=gzzh
韶关新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sgxwzh
河源综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hyzh
中山综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zszh
湛江新闻综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjxwzh
揭阳综合,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jyzh
吉林都市频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jldspd
吉林生活频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jlshpd
吉林影视频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jlyspd
吉林乡村频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jlxcpd
吉林综艺文化频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jlzywhpd
长春综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cczhpd
吉林新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jlxwzhpd
四平新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=spxwzhpd
辽源新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=lyxwzhpd
白城新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bcxwzhpd
通化新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=thxwzhpd
白山新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bsxwzhpd
攀枝花新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=pzhxwzhpd
攀枝花文旅生活频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=pzhwlshpd
巴中综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bzzhpd

黑龙江文体频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hljwtpd
黑龙江影视频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hljyspd
黑龙江新闻法治频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hljxwfzpd
黑龙江都市频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hljdspd
黑龙江农业・科教频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hljnykjpd
哈尔滨新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hebxwzhpd
齐齐哈尔新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=qqhexwzhpd
牡丹江新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=mdjxwzhpd
双鸭山新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=sysxwzhpd
伊春新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ycxwzhpd
七台河新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=qthxwzhpd
鹤岗新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hgxwzhpd
黑河新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hhxwzhpd
绥化新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=shxwzhpd
大兴安岭新闻综合频道,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=dxalxwzhpd

杭州生活,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hzsh
24小时轮播,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=24hlb
传奇剧场,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cqjc
